seed;iteracao_validacao_cruzada;features_nao_correlacionadas;features_missing_values
7;5;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.attribute_min', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath', 'ela_meta.lin_simple.intercept', 'ela_meta.lin_simple.coef.min', 'ela_meta.lin_simple.coef.max', 'ela_meta.lin_simple.coef.max_by_min', 'ela_meta.quad_simple.cond', 'ela_meta.costs_runtime', 'ela_level.costs_runtime'];['ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_distr.costs_fun_evals', 'ela_distr.costs_runtime', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_10', 'ela_level.lda_qda_10', 'ela_level.lda_mda_10', 'ela_level.qda_mda_10', 'ela_level.mmce_lda_25', 'ela_level.mmce_qda_25', 'ela_level.mmce_mda_25', 'ela_level.lda_qda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_lda_50', 'ela_level.mmce_qda_50', 'ela_level.mmce_mda_50', 'ela_level.lda_qda_50', 'ela_level.lda_mda_50', 'ela_level.qda_mda_50']
7;6;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.attribute_min', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath', 'ela_meta.lin_simple.intercept', 'ela_meta.lin_simple.coef.min', 'ela_meta.lin_simple.coef.max', 'ela_meta.lin_simple.coef.max_by_min', 'ela_meta.quad_simple.cond', 'ela_meta.costs_runtime', 'ela_level.costs_runtime'];['ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_distr.costs_fun_evals', 'ela_distr.costs_runtime', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_10', 'ela_level.lda_qda_10', 'ela_level.lda_mda_10', 'ela_level.qda_mda_10', 'ela_level.mmce_lda_25', 'ela_level.mmce_qda_25', 'ela_level.mmce_mda_25', 'ela_level.lda_qda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_lda_50', 'ela_level.mmce_qda_50', 'ela_level.mmce_mda_50', 'ela_level.lda_qda_50', 'ela_level.lda_mda_50', 'ela_level.qda_mda_50']
7;7;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.attribute_min', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath', 'ela_meta.lin_simple.intercept', 'ela_meta.lin_simple.coef.min', 'ela_meta.lin_simple.coef.max', 'ela_meta.lin_simple.coef.max_by_min', 'ela_meta.quad_simple.cond', 'ela_meta.costs_runtime', 'ela_level.costs_runtime'];['ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_distr.costs_fun_evals', 'ela_distr.costs_runtime', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_10', 'ela_level.lda_qda_10', 'ela_level.lda_mda_10', 'ela_level.qda_mda_10', 'ela_level.mmce_lda_25', 'ela_level.mmce_qda_25', 'ela_level.mmce_mda_25', 'ela_level.lda_qda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_lda_50', 'ela_level.mmce_qda_50', 'ela_level.mmce_mda_50', 'ela_level.lda_qda_50', 'ela_level.lda_mda_50', 'ela_level.qda_mda_50']
7;8;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.attribute_min', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath', 'ela_meta.lin_simple.intercept', 'ela_meta.lin_simple.coef.min', 'ela_meta.lin_simple.coef.max', 'ela_meta.lin_simple.coef.max_by_min', 'ela_meta.quad_simple.cond', 'ela_meta.costs_runtime', 'ela_level.costs_runtime'];['ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_distr.costs_fun_evals', 'ela_distr.costs_runtime', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_10', 'ela_level.lda_qda_10', 'ela_level.lda_mda_10', 'ela_level.qda_mda_10', 'ela_level.mmce_lda_25', 'ela_level.mmce_qda_25', 'ela_level.mmce_mda_25', 'ela_level.lda_qda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_lda_50', 'ela_level.mmce_qda_50', 'ela_level.mmce_mda_50', 'ela_level.lda_qda_50', 'ela_level.lda_mda_50', 'ela_level.qda_mda_50']
7;9;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.attribute_min', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath', 'ela_meta.lin_simple.intercept', 'ela_meta.lin_simple.coef.min', 'ela_meta.lin_simple.coef.max', 'ela_meta.lin_simple.coef.max_by_min', 'ela_meta.quad_simple.cond', 'ela_meta.costs_runtime', 'ela_level.costs_runtime'];['ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_distr.costs_fun_evals', 'ela_distr.costs_runtime', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_10', 'ela_level.lda_qda_10', 'ela_level.lda_mda_10', 'ela_level.qda_mda_10', 'ela_level.mmce_lda_25', 'ela_level.mmce_qda_25', 'ela_level.mmce_mda_25', 'ela_level.lda_qda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_lda_50', 'ela_level.mmce_qda_50', 'ela_level.mmce_mda_50', 'ela_level.lda_qda_50', 'ela_level.lda_mda_50', 'ela_level.qda_mda_50']
13;0;['simple.numeric', 'simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.nominal_rate', 'simple.symbols_mean', 'simple.symbols_sd', 'simple.class_prob_min', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f1v', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n1', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_simple.intercept', 'ela_meta.lin_simple.coef.min', 'ela_meta.lin_simple.coef.max', 'ela_meta.lin_simple.coef.max_by_min', 'ela_meta.quad_simple.cond', 'ela_meta.costs_runtime', 'ela_level.costs_runtime'];['ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_distr.costs_fun_evals', 'ela_distr.costs_runtime', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_10', 'ela_level.lda_qda_10', 'ela_level.lda_mda_10', 'ela_level.qda_mda_10', 'ela_level.mmce_lda_25', 'ela_level.mmce_qda_25', 'ela_level.mmce_mda_25', 'ela_level.lda_qda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_lda_50', 'ela_level.mmce_qda_50', 'ela_level.mmce_mda_50', 'ela_level.lda_qda_50', 'ela_level.lda_mda_50', 'ela_level.qda_mda_50']
13;1;['simple.numeric', 'simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f1v', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_simple.intercept', 'ela_meta.lin_simple.coef.min', 'ela_meta.lin_simple.coef.max', 'ela_meta.lin_simple.coef.max_by_min', 'ela_meta.quad_simple.cond', 'ela_meta.costs_runtime', 'ela_level.costs_runtime'];['ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_distr.costs_fun_evals', 'ela_distr.costs_runtime', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_10', 'ela_level.lda_qda_10', 'ela_level.lda_mda_10', 'ela_level.qda_mda_10', 'ela_level.mmce_lda_25', 'ela_level.mmce_qda_25', 'ela_level.mmce_mda_25', 'ela_level.lda_qda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_lda_50', 'ela_level.mmce_qda_50', 'ela_level.mmce_mda_50', 'ela_level.lda_qda_50', 'ela_level.lda_mda_50', 'ela_level.qda_mda_50']
13;2;['simple.numeric', 'simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_simple.intercept', 'ela_meta.lin_simple.coef.min', 'ela_meta.lin_simple.coef.max', 'ela_meta.lin_simple.coef.max_by_min', 'ela_meta.quad_simple.cond', 'ela_meta.costs_runtime', 'ela_level.costs_runtime'];['ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_distr.costs_fun_evals', 'ela_distr.costs_runtime', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_10', 'ela_level.lda_qda_10', 'ela_level.lda_mda_10', 'ela_level.qda_mda_10', 'ela_level.mmce_lda_25', 'ela_level.mmce_qda_25', 'ela_level.mmce_mda_25', 'ela_level.lda_qda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_lda_50', 'ela_level.mmce_qda_50', 'ela_level.mmce_mda_50', 'ela_level.lda_qda_50', 'ela_level.lda_mda_50', 'ela_level.qda_mda_50']
13;3;['simple.numeric', 'simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath', 'ela_meta.lin_simple.intercept', 'ela_meta.lin_simple.coef.min', 'ela_meta.lin_simple.coef.max', 'ela_meta.lin_simple.coef.max_by_min', 'ela_meta.quad_simple.cond', 'ela_meta.costs_runtime', 'ela_level.costs_runtime'];['ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_distr.costs_fun_evals', 'ela_distr.costs_runtime', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_10', 'ela_level.lda_qda_10', 'ela_level.lda_mda_10', 'ela_level.qda_mda_10', 'ela_level.mmce_lda_25', 'ela_level.mmce_qda_25', 'ela_level.mmce_mda_25', 'ela_level.lda_qda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_lda_50', 'ela_level.mmce_qda_50', 'ela_level.mmce_mda_50', 'ela_level.lda_qda_50', 'ela_level.lda_mda_50', 'ela_level.qda_mda_50']
13;4;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath', 'ela_meta.lin_simple.intercept', 'ela_meta.lin_simple.coef.min', 'ela_meta.lin_simple.coef.max', 'ela_meta.lin_simple.coef.max_by_min', 'ela_meta.quad_simple.cond', 'ela_meta.costs_runtime', 'ela_level.costs_runtime'];['ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_distr.costs_fun_evals', 'ela_distr.costs_runtime', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_10', 'ela_level.lda_qda_10', 'ela_level.lda_mda_10', 'ela_level.qda_mda_10', 'ela_level.mmce_lda_25', 'ela_level.mmce_qda_25', 'ela_level.mmce_mda_25', 'ela_level.lda_qda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_lda_50', 'ela_level.mmce_qda_50', 'ela_level.mmce_mda_50', 'ela_level.lda_qda_50', 'ela_level.lda_mda_50', 'ela_level.qda_mda_50']
13;5;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath', 'ela_meta.lin_simple.intercept', 'ela_meta.lin_simple.coef.min', 'ela_meta.lin_simple.coef.max', 'ela_meta.lin_simple.coef.max_by_min', 'ela_meta.quad_simple.cond', 'ela_meta.costs_runtime', 'ela_level.costs_runtime'];['ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_distr.costs_fun_evals', 'ela_distr.costs_runtime', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_10', 'ela_level.lda_qda_10', 'ela_level.lda_mda_10', 'ela_level.qda_mda_10', 'ela_level.mmce_lda_25', 'ela_level.mmce_qda_25', 'ela_level.mmce_mda_25', 'ela_level.lda_qda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_lda_50', 'ela_level.mmce_qda_50', 'ela_level.mmce_mda_50', 'ela_level.lda_qda_50', 'ela_level.lda_mda_50', 'ela_level.qda_mda_50']
13;6;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.attribute_min', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath', 'ela_meta.lin_simple.intercept', 'ela_meta.lin_simple.coef.min', 'ela_meta.lin_simple.coef.max', 'ela_meta.lin_simple.coef.max_by_min', 'ela_meta.quad_simple.cond', 'ela_meta.costs_runtime', 'ela_level.costs_runtime'];['ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_distr.costs_fun_evals', 'ela_distr.costs_runtime', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_10', 'ela_level.lda_qda_10', 'ela_level.lda_mda_10', 'ela_level.qda_mda_10', 'ela_level.mmce_lda_25', 'ela_level.mmce_qda_25', 'ela_level.mmce_mda_25', 'ela_level.lda_qda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_lda_50', 'ela_level.mmce_qda_50', 'ela_level.mmce_mda_50', 'ela_level.lda_qda_50', 'ela_level.lda_mda_50', 'ela_level.qda_mda_50']
13;7;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.attribute_min', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath', 'ela_meta.lin_simple.intercept', 'ela_meta.lin_simple.coef.min', 'ela_meta.lin_simple.coef.max', 'ela_meta.lin_simple.coef.max_by_min', 'ela_meta.quad_simple.cond', 'ela_meta.costs_runtime', 'ela_level.costs_runtime'];['ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_distr.costs_fun_evals', 'ela_distr.costs_runtime', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_10', 'ela_level.lda_qda_10', 'ela_level.lda_mda_10', 'ela_level.qda_mda_10', 'ela_level.mmce_lda_25', 'ela_level.mmce_qda_25', 'ela_level.mmce_mda_25', 'ela_level.lda_qda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_lda_50', 'ela_level.mmce_qda_50', 'ela_level.mmce_mda_50', 'ela_level.lda_qda_50', 'ela_level.lda_mda_50', 'ela_level.qda_mda_50']
13;8;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.attribute_min', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath', 'ela_meta.lin_simple.intercept', 'ela_meta.lin_simple.coef.min', 'ela_meta.lin_simple.coef.max', 'ela_meta.lin_simple.coef.max_by_min', 'ela_meta.quad_simple.cond', 'ela_meta.costs_runtime', 'ela_level.costs_runtime'];['ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_distr.costs_fun_evals', 'ela_distr.costs_runtime', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_10', 'ela_level.lda_qda_10', 'ela_level.lda_mda_10', 'ela_level.qda_mda_10', 'ela_level.mmce_lda_25', 'ela_level.mmce_qda_25', 'ela_level.mmce_mda_25', 'ela_level.lda_qda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_lda_50', 'ela_level.mmce_qda_50', 'ela_level.mmce_mda_50', 'ela_level.lda_qda_50', 'ela_level.lda_mda_50', 'ela_level.qda_mda_50']
13;9;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.attribute_min', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath', 'ela_meta.lin_simple.intercept', 'ela_meta.lin_simple.coef.min', 'ela_meta.lin_simple.coef.max_by_min', 'ela_meta.quad_simple.cond', 'ela_meta.costs_runtime', 'ela_level.costs_runtime'];['ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_distr.costs_fun_evals', 'ela_distr.costs_runtime', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_10', 'ela_level.lda_qda_10', 'ela_level.lda_mda_10', 'ela_level.qda_mda_10', 'ela_level.mmce_lda_25', 'ela_level.mmce_qda_25', 'ela_level.mmce_mda_25', 'ela_level.lda_qda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_lda_50', 'ela_level.mmce_qda_50', 'ela_level.mmce_mda_50', 'ela_level.lda_qda_50', 'ela_level.lda_mda_50', 'ela_level.qda_mda_50']
